,Categories,Template type,Subject,Context
0,Cold Email Templates,First Follow Up,{Company Name} + {Your Company},"Hi {name}, My name is {name} with {Your Company}.We help {specific company type} with {one liner}. I wanted to learn how you handle{thing your company handles} at {Company Name} and show you what we're working on.Are you available for a brief call at {time options}."
1,,Viewing content alert (e.g. opened an Attach link),{Company Name} + Smart Host,"Hi Mike, My name is Nick and I’m a co-founder at Smart Host. We help property managers optimize their pricing on marketplaces like HomeAway, VRBO, and Flipkey. I wanted to learn how you currently handle price optimization and show you what we're working on. Are you available for a quick call tomorrow afternoon?"
2,,First Email,How to Export [company] Prospects from professional social networks and into your CRM,"{name}, I'd like to discuss your lead gen efforts. We're helping other [industry] companies collect their prospects straight from professional social networks and import them directly into their CRM (adding phone numbers and email addresses). Quick question: can you put me in touch with whoever is responsible for new prospecting and revenue­ generating tools at {company}?"
3,,,,"Hi {name}, {myName} from {myCompany} here. Companies make more sales with consistent marketing. {myCompany} can put proven sales tools into the hands of everyone who sells your product. If that sound useful, I can explain how it works."
4,,,,"Hi {name}, I’m trying to figure out who is in charge of [leading general statement] there at {company}. Would you mind pointing me towards the right person please, and the best way I might get in touch with them?"
5,,,,"Hello {name}, What would it mean to your top-line revenue if you saw a 70% increase in contact rates, 50% improvement in closes, and 40% increase in quota-hitting sales reps? Let’s find a few minutes to talk about how InsideSales.com is providing these results to our clients. I’m available tomorrow {insert 2 times you’re available}. Can we sync up?"
6,,,,"Hi {name}, I hope this note finds you well. I’ve been working for a company called {my company} that specializes in X, Y and Z. In thinking about your role at {company}, I thought there might be a good fit for your group. Our {product name} has garnered a lot of attention in the marketplace and I think it’s something that your organization might see immediate value in. Can you help me get in contact with the right decision-maker?"
7,,,Looking for best [insert job area where you’d like to start] contact,"{name}, I am doing some research on your company to determine if there is (or is not) a need for [insert your strongest pain point]. Could you please help me by pointing me to the best person there for a brief discussion? {name}, I am doing some research on your company to determine if there is (or is not) a need for [insert your strongest pain point]. Could you please help me by pointing me to the best person there for a brief discussion?"
8,,,Where shall I start?,"{name}, I’m hoping you can help me, who handles the [insert pain point here] decisions at {company} and how might I get in touch with them?"
9,,,[theircompanyname] and [yourcompanyname],"Hi {name}, My name is {name} with {Your Company}. We help {specific company type} with {one liner}. I wanted to learn how you handle {thing your company handles} at {Company Name} and show you what we're working on. Are you available for a brief call at {time options}."
